Name	Type	County	Population	Area	Area_km	Incorporated
Adelanto	City	San Bernardino	31,765	56.01	145.1	December 22, 1970
Agoura Hills	City	Los Angeles	20,330	7.79	20.2	December 8, 1982
Alameda	City	Alameda	73,812	10.61	27.5	April 19, 1854
Albany	City	Alameda	18,539	1.79	4.6	September 22, 1908
Alhambra	City	Los Angeles	83,089	7.63	19.8	July 11, 1903
Aliso Viejo	City	Orange	47,823	7.47	19.3	July 1, 2001
AlturasCounty seat	City	Modoc	2,827	2.43	6.3	September 16, 1901
Amador City	City	Amador	185	0.31	0.80	June 2, 1915
American Canyon	City	Napa	19,454	4.84	12.5	January 1, 1992
Anaheim	City	Orange	336,265	49.84	129.1	March 18, 1876
Anderson	City	Shasta	9,932	6.37	16.5	January 16, 1956
Angels Camp	City	Calaveras	3,836	3.63	9.4	January 16, 1912
Antioch	City	Contra Costa	102,372	28.35	73.4	February 6, 1872
Apple Valley	Town	San Bernardino	69,135	73.19	189.6	November 28, 1988
Arcadia	City	Los Angeles	56,364	10.93	28.3	August 5, 1903
Arcata	City	Humboldt	17,231	9.10	23.6	February 2, 1858
Arroyo Grande	City	San Luis Obispo	17,252	5.84	15.1	July 10, 1911
Artesia	City	Los Angeles	16,522	1.62	4.2	May 29, 1959
Arvin	City	Kern	19,304	4.82	12.5	December 21, 1960
Atascadero	City	San Luis Obispo	28,310	25.64	66.4	July 2, 1979
Atherton	Town	San Mateo	6,914	5.02	13.0	September 12, 1923
Atwater	City	Merced	28,168	6.09	15.8	August 16, 1922
AuburnCounty seat	City	Placer	13,330	7.14	18.5	May 2, 1888
Avalon	City	Los Angeles	3,728	2.94	7.6	June 26, 1913
Avenal	City	Kings	15,505	19.42	50.3	September 11, 1979
Azusa	City	Los Angeles	46,361	9.66	25.0	December 29, 1898
BakersfieldCounty seat	City	Kern	347,483	142.16	368.2	January 11, 1898
Baldwin Park	City	Los Angeles	75,390	6.63	17.2	January 25, 1956
Banning	City	Riverside	29,603	23.10	59.8	February 6, 1913
Barstow	City	San Bernardino	22,639	41.38	107.2	September 30, 1947
Beaumont	City	Riverside	36,877	30.91	80.1	November 18, 1912
Bell	City	Los Angeles	35,477	2.50	6.5	November 7, 1927
Bell Gardens	City	Los Angeles	42,072	2.46	6.4	August 1, 1961
Bellflower	City	Los Angeles	76,616	6.12	15.9	September 3, 1957
Belmont	City	San Mateo	25,835	4.62	12.0	October 29, 1926
Belvedere	City	Marin	2,068	0.52	1.3	December 24, 1896
Benicia	City	Solano	26,997	12.93	33.5	March 27, 1850
Berkeley	City	Alameda	112,580	10.47	27.1	April 4, 1878
Beverly Hills	City	Los Angeles	34,109	5.71	14.8	January 28, 1914
Big Bear Lake	City	San Bernardino	5,019	6.35	16.4	November 28, 1980
Biggs	City	Butte	1,707	0.64	1.7	June 26, 1903
Bishop	City	Inyo	3,879	1.86	4.8	May 6, 1903
Blue Lake	City	Humboldt	1,253	0.59	1.5	April 23, 1910
Blythe	City	Riverside	20,817	26.19	67.8	July 21, 1916
Bradbury	City	Los Angeles	1,048	1.96	5.1	July 26, 1957
Brawley	City	Imperial	24,953	7.68	19.9	April 6, 1908
Brea	City	Orange	39,282	12.08	31.3	February 23, 1917
Brentwood	City	Contra Costa	51,481	14.79	38.3	January 21, 1948
Brisbane	City	San Mateo	4,282	3.10	8.0	November 27, 1961
Buellton	City	Santa Barbara	4,828	1.58	4.1	February 1, 1992
Buena Park	City	Orange	80,530	10.52	27.2	January 27, 1953
Burbank	City	Los Angeles	103,340	17.34	44.9	July 8, 1911
Burlingame	City	San Mateo	28,806	4.41	11.4	June 6, 1908
Calabasas	City	Los Angeles	23,058	12.90	33.4	April 5, 1991
Calexico	City	Imperial	38,572	8.39	21.7	April 16, 1908
California City	City	Kern	14,120	203.52	527.1	December 10, 1965
Calimesa	City	Riverside	7,879	14.85	38.5	December 1, 1990
Calipatria	City	Imperial	7,705	3.72	9.6	February 28, 1919
Calistoga	City	Napa	5,155	2.60	6.7	January 6, 1886
Camarillo	City	Ventura	65,201	19.53	50.6	March 28, 1964
Campbell	City	Santa Clara	39,349	5.80	15.0	March 28, 1952
Canyon Lake	City	Riverside	10,561	3.93	10.2	December 1, 1990
Capitola	City	Santa Cruz	9,918	1.59	4.1	January 11, 1949
Carlsbad	City	San Diego	105,328	37.72	97.7	July 16, 1952
Carmel-by-the-Sea	City	Monterey	3,722	1.08	2.8	October 31, 1916
Carpinteria	City	Santa Barbara	13,040	2.59	6.7	September 28, 1965
Carson	City	Los Angeles	91,714	18.72	48.5	February 20, 1968
Cathedral City	City	Riverside	51,200	21.50	55.7	November 16, 1981
Ceres	City	Stanislaus	45,417	8.01	20.7	February 25, 1918
Cerritos	City	Los Angeles	49,041	8.73	22.6	April 24, 1956
Chico	City	Butte	86,187	32.92	85.3	January 8, 1872
Chino	City	San Bernardino	77,983	29.64	76.8	February 28, 1910
Chino Hills	City	San Bernardino	74,799	44.68	115.7	December 1, 1991
Chowchilla	City	Madera	18,720	7.66	19.8	February 7, 1923
Chula Vista	City	San Diego	243,916	49.63	128.5	November 28, 1911
Citrus Heights	City	Sacramento	83,301	14.23	36.9	January 1, 1997
Claremont	City	Los Angeles	34,926	13.35	34.6	October 3, 1907
Clayton	City	Contra Costa	10,897	3.84	9.9	March 18, 1964
Clearlake	City	Lake	15,250	10.13	26.2	November 14, 1980
Cloverdale	City	Sonoma	8,618	2.65	6.9	February 28, 1872
Clovis	City	Fresno	95,631	23.28	60.3	February 27, 1912
Coachella	City	Riverside	40,704	28.95	75.0	December 13, 1946
Coalinga	City	Fresno	13,380	6.12	15.9	April 3, 1906
Colfax	City	Placer	1,963	1.41	3.7	February 23, 1910
Colma	Town	San Mateo	1,792	1.91	4.9	August 5, 1924
Colton	City	San Bernardino	52,154	15.32	39.7	July 11, 1887
ColusaCounty seat	City	Colusa	5,971	1.83	4.7	June 16, 1868
Commerce	City	Los Angeles	12,823	6.54	16.9	January 28, 1960
Compton	City	Los Angeles	96,455	10.01	25.9	May 11, 1888
Concord	City	Contra Costa	122,067	30.55	79.1	February 9, 1905
Corcoran	City	Kings	24,813	7.47	19.3	August 11, 1914
Corning	City	Tehama	7,663	3.55	9.2	August 6, 1907
Corona	City	Riverside	152,374	38.83	100.6	July 13, 1896
Coronado	City	San Diego	24,697	7.93	20.5	December 11, 1890
Corte Madera	Town	Marin	9,253	3.16	8.2	June 10, 1916
Costa Mesa	City	Orange	109,960	15.65	40.5	June 29, 1953
Cotati	City	Sonoma	7,265	1.88	4.9	July 16, 1963
Covina	City	Los Angeles	47,796	7.03	18.2	August 14, 1901
Crescent CityCounty seat	City	Del Norte	7,643	1.96	5.1	April 13, 1854
Cudahy	City	Los Angeles	23,805	1.18	3.1	November 10, 1960
Culver City	City	Los Angeles	38,883	5.11	13.2	September 7, 1917
Cupertino	City	Santa Clara	58,302	11.26	29.2	October 10, 1955
Cypress	City	Orange	47,802	6.58	17.0	July 24, 1956
Daly City	City	San Mateo	101,123	7.66	19.8	March 22, 1911
Dana Point	City	Orange	33,351	6.50	16.8	January 1, 1989
Danville	Town	Contra Costa	42,039	18.03	46.7	July 1, 1982
Davis	City	Yolo	65,622	9.89	25.6	March 28, 1917
Del Mar	City	San Diego	4,161	1.71	4.4	July 15, 1959
Del Rey Oaks	City	Monterey	1,624	0.48	1.2	September 3, 1953
Delano	City	Kern	53,041	14.30	37.0	April 13, 1915
Desert Hot Springs	City	Riverside	25,938	23.62	61.2	September 25, 1963
Diamond Bar	City	Los Angeles	55,544	14.88	38.5	April 18, 1989
Dinuba	City	Tulare	21,453	6.47	16.8	January 6, 1906
Dixon	City	Solano	18,351	7.00	18.1	March 30, 1878
Dorris	City	Siskiyou	939	0.70	1.8	December 23, 1908
Dos Palos	City	Merced	4,950	1.35	3.5	May 24, 1935
Downey	City	Los Angeles	111,772	12.41	32.1	December 17, 1956
Duarte	City	Los Angeles	21,321	6.69	17.3	August 22, 1957
Dublin	City	Alameda	46,036	14.91	38.6	February 1, 1982
Dunsmuir	City	Siskiyou	1,650	1.70	4.4	August 7, 1909
East Palo Alto	City	San Mateo	28,155	2.51	6.5	July 1, 1983
Eastvale	City	Riverside	53,670[9]	13.1	34[9]	October 1, 2010
El Cajon	City	San Diego	99,478	14.43	37.4	November 12, 1912
El CentroCounty seat	City	Imperial	42,598	11.08	28.7	April 16, 1908
El Cerrito	City	Contra Costa	23,549	3.69	9.6	August 23, 1917
El Monte	City	Los Angeles	113,475	9.56	24.8	November 18, 1912
El Segundo	City	Los Angeles	16,654	5.46	14.1	January 18, 1917
Elk Grove	City	Sacramento	153,015	42.19	109.3	July 1, 2000
Emeryville	City	Alameda	10,080	1.25	3.2	December 8, 1896
Encinitas	City	San Diego	59,518	18.81	48.7	October 1, 1986
Escalon	City	San Joaquin	7,132	2.30	6.0	March 12, 1957
Escondido	City	San Diego	143,911	36.81	95.3	October 8, 1888
Etna	City	Siskiyou	737	0.76	2.0	March 13, 1878
EurekaCounty seat	City	Humboldt	27,191	9.38	24.3	April 18, 1856
Exeter	City	Tulare	10,334	2.46	6.4	March 2, 1911
Fairfax	Town	Marin	7,441	2.20	5.7	March 2, 1931
FairfieldCounty seat	City	Solano	105,321	37.39	96.8	December 12, 1903
Farmersville	City	Tulare	10,588	2.26	5.9	October 5, 1960
Ferndale	City	Humboldt	1,371	1.03	2.7	August 28, 1893
Fillmore	City	Ventura	15,002	3.36	8.7	July 10, 1914
Firebaugh	City	Fresno	7,549	3.46	9.0	September 17, 1914
Folsom	City	Sacramento	72,203	21.95	56.9	April 20, 1946
Fontana	City	San Bernardino	196,069	42.43	109.9	June 25, 1952
Fort Bragg	City	Mendocino	7,273	2.75	7.1	August 5, 1889
Fort Jones	City	Siskiyou	839	0.60	1.6	March 16, 1872
Fortuna	City	Humboldt	11,926	4.85	12.6	January 20, 1906
Foster City	City	San Mateo	30,567	3.76	9.7	April 27, 1971
Fountain Valley	City	Orange	55,313	9.02	23.4	June 13, 1957
Fowler	City	Fresno	5,570	2.53	6.6	June 15, 1908
Fremont	City	Alameda	214,089	77.46	200.6	January 23, 1956
FresnoCounty seat	City	Fresno	494,665	111.96	290.0	October 12, 1885
Fullerton	City	Orange	135,161	22.35	57.9	February 15, 1904
Galt	City	Sacramento	23,647	5.93	15.4	August 16, 1946
Garden Grove	City	Orange	170,883	17.94	46.5	June 18, 1956
Gardena	City	Los Angeles	58,829	5.83	15.1	September 11, 1930
Gilroy	City	Santa Clara	48,821	16.15	41.8	March 12, 1870
Glendale	City	Los Angeles	191,719	30.45	78.9	February 15, 1906
Glendora	City	Los Angeles	50,073	19.39	50.2	November 13, 1911
Goleta	City	Santa Barbara	29,888	7.90	20.5	February 1, 2002
Gonzales	City	Monterey	8,187	1.92	5.0	January 14, 1947
Grand Terrace	City	San Bernardino	12,040	3.50	9.1	November 30, 1978
Grass Valley	City	Nevada	12,860	4.74	12.3	March 13, 1893
Greenfield	City	Monterey	16,330	2.14	5.5	January 7, 1947
Gridley	City	Butte	6,584	2.07	5.4	November 23, 1905
Grover Beach	City	San Luis Obispo	13,156	2.31	6.0	December 21, 1959
Guadalupe	City	Santa Barbara	7,080	1.31	3.4	August 3, 1946
Gustine	City	Merced	5,520	1.55	4.0	November 11, 1915
Half Moon Bay	City	San Mateo	11,324	6.42	16.6	July 15, 1959
HanfordCounty seat	City	Kings	53,967	16.59	43.0	August 12, 1891
Hawaiian Gardens	City	Los Angeles	14,254	0.95	2.5	April 9, 1964
Hawthorne	City	Los Angeles	84,293	6.08	15.7	July 12, 1922
Hayward	City	Alameda	144,186	45.32	117.4	March 11, 1876
Healdsburg	City	Sonoma	11,254	4.46	11.6	February 20, 1867
Hemet	City	Riverside	78,657	27.85	72.1	January 20, 1910
Hercules	City	Contra Costa	24,060	6.21	16.1	December 15, 1900
Hermosa Beach	City	Los Angeles	19,506	1.43	3.7	January 14, 1907
Hesperia	City	San Bernardino	90,173	73.10	189.3	July 1, 1988
Hidden Hills	City	Los Angeles	1,856	1.69	4.4	January 19, 1961
Highland	City	San Bernardino	53,104	18.76	48.6	November 24, 1987
Hillsborough	Town	San Mateo	10,825	6.19	16.0	May 5, 1910
HollisterCounty seat	City	San Benito	34,928	7.29	18.9	March 26, 1872
Holtville	City	Imperial	5,939	1.15	3.0	July 1, 1908
Hughson	City	Stanislaus	6,640	1.82	4.7	December 9, 1972
Huntington Beach	City	Orange	189,992	26.75	69.3	February 17, 1909
Huntington Park	City	Los Angeles	58,114	3.01	7.8	September 1, 1906
Huron	City	Fresno	6,754	1.59	4.1	May 3, 1951
Imperial	City	Imperial	14,758	5.86	15.2	July 12, 1904
Imperial Beach	City	San Diego	26,324	4.16	10.8	July 18, 1956
Indian Wells	City	Riverside	4,958	14.32	37.1	July 14, 1967
Indio	City	Riverside	76,036	29.18	75.6	May 16, 1930
Industry	City	Los Angeles	219	11.78	30.5	June 18, 1957
Inglewood	City	Los Angeles	109,673	9.07	23.5	February 7, 1908
Ione	City	Amador	7,918	4.76	12.3	March 23, 1953
Irvine	City	Orange	212,375	66.11	171.2	December 28, 1971
Irwindale	City	Los Angeles	1,422	8.83	22.9	August 6, 1957
Isleton	City	Sacramento	804	0.44	1.1	May 14, 1923
JacksonCounty seat	City	Amador	4,651	3.73	9.7	December 5, 1905
Jurupa Valley	City	Riverside	95,004[10]	43.7	113[10]	July 1, 2011
Kerman	City	Fresno	13,544	3.23	8.4	July 2, 1946
King City	City	Monterey	12,874	3.84	9.9	February 9, 1911
Kingsburg	City	Fresno	11,382	2.83	7.3	May 29, 1908
La Cañada Flintridge	City	Los Angeles	20,246	8.63	22.4	November 30, 1976
La Habra	City	Orange	60,239	7.37	19.1	January 20, 1925
La Habra Heights	City	Los Angeles	5,325	6.16	16.0	December 4, 1978
La Mesa	City	San Diego	57,065	9.08	23.5	February 16, 1912
La Mirada	City	Los Angeles	48,527	7.84	20.3	March 23, 1960
La Palma	City	Orange	15,568	1.81	4.7	October 26, 1955
La Puente	City	Los Angeles	39,816	3.48	9.0	August 1, 1956
La Quinta	City	Riverside	37,467	35.12	91.0	May 1, 1982
La Verne	City	Los Angeles	31,063	8.43	21.8	August 20, 1906
Lafayette	City	Contra Costa	23,893	15.22	39.4	July 29, 1968
Laguna Beach	City	Orange	22,723	8.85	22.9	June 29, 1927
Laguna Hills	City	Orange	30,344	6.67	17.3	December 20, 1991
Laguna Niguel	City	Orange	62,979	14.83	38.4	December 1, 1989
Laguna Woods	City	Orange	16,192	3.12	8.1	March 24, 1999
Lake Elsinore	City	Riverside	51,821	36.21	93.8	April 9, 1888
Lake Forest	City	Orange	77,264	17.82	46.2	December 20, 1991
LakeportCounty seat	City	Lake	4,753	3.06	7.9	April 30, 1888
Lakewood	City	Los Angeles	80,048	9.41	24.4	April 16, 1954
Lancaster	City	Los Angeles	156,633	94.28	244.2	November 22, 1977
Larkspur	City	Marin	11,926	3.03	7.8	March 1, 1908
Lathrop	City	San Joaquin	18,023	21.93	56.8	July 1, 1989
Lawndale	City	Los Angeles	32,769	1.97	5.1	December 28, 1959
Lemon Grove	City	San Diego	25,320	3.88	10.0	July 1, 1977
Lemoore	City	Kings	24,531	8.52	22.1	July 4, 1900
Lincoln	City	Placer	42,819	20.11	52.1	August 7, 1890
Lindsay	City	Tulare	11,768	2.61	6.8	February 28, 1910
Live Oak	City	Sutter	8,392	1.87	4.8	January 22, 1947
Livermore	City	Alameda	80,968	25.17	65.2	April 1, 1876
Livingston	City	Merced	13,058	3.72	9.6	September 11, 1922
Lodi	City	San Joaquin	62,134	13.61	35.2	December 6, 1906
Loma Linda	City	San Bernardino	23,261	7.52	19.5	September 29, 1970
Lomita	City	Los Angeles	20,256	1.91	4.9	June 30, 1964
Lompoc	City	Santa Barbara	42,434	11.60	30.0	August 13, 1888
Long Beach	City	Los Angeles	462,257	50.29	130.3	December 13, 1897
Loomis	Town	Placer	6,430	7.27	18.8	December 17, 1984
Los Alamitos	City	Orange	11,449	4.05	10.5	March 1, 1960
Los Altos	City	Santa Clara	28,976	6.49	16.8	December 1, 1952
Los Altos Hills	Town	Santa Clara	7,922	8.80	22.8	January 27, 1956
Los AngelesCounty seat	City	Los Angeles	3,792,621	468.67	1,213.8	April 4, 1850
Los Banos	City	Merced	35,972	9.99	25.9	May 8, 1907
Los Gatos	Town	Santa Clara	29,413	11.08	28.7	August 10, 1887
Loyalton	City	Sierra	769	0.36	0.93	July 21, 1901
Lynwood	City	Los Angeles	69,772	4.84	12.5	July 21, 1921
