Ep ID	Date	Food	Approximate calories
349	2015-06-28	Waffles with maple syrup	318
348	2015-06-21	Vegetarian lasagna with chili sauce	470
347	2015-06-14	Sourdough bread, cream cheese, vegimite	269
346	2015-06-07	french onion soup	55
345	2015-05-31	soup served with loch ness monster ladel	200
344	2015-05-23	steamed rice with satay sauce	176
343	2015-05-16	toast with cream cheese and a poached egg and coffee	480
342	2015-05-10	lentil curry and rice	303.1
341	2015-05-03	rainbow birthday cake	387.8
340	2015-04-26	granny smith apple	80
339	2015-04-19	olive bread with smashed avocado and olive oil	1122.1
338	2015-04-12	sourdough toast with cream cheese and smoked salmon	528
337	2015-05-05	(none reported)	0
336	2015-03-29	(general dessert)	600
335	2015-03-22	Rasberry cordial with ice	157.3
334	2015-03-15	cooked chook and baked potatoe	610
333	2015-03-08	halloumi	262
332	2015-03-01	spicy chicken burger	109
331	2015-02-22	pumpkin bread with cheese and pickled chilis	551
330	2015-02-15	(none reported)	0
329	2015-02-08	jalapenos and cheese bagels	358
328	2015-01-30	clam chowder	56
327	2015-01-25	root beer and ice	41
326	2015-01-17	bucket full of ice	0
325	2015-01-11	sourdough bread with creme cheese and poached eggs with coffee	485
324	2015-01-04	jumbo ice cubes	0
323	2014-12-29	waffle	291
322	2014-12-21	toasted swiss cheese sandwich with vegimite	317
321	2014-12-14	rice crackers	12
320	2014-12-07	chocolate champaign bottle	260
319	2014-11-30	(none reported)	0
318	2014-11-23	(none reported)	0
317	2014-11-16	(none reported)	0
316	2014-11-09	vegemite toast	112
315	2014-11-02	tacos with hot sauce	228
314	2014-10-26	flat white and latte	410
313	2014-10-18	music from chariots of the gods	0
312	2014-10-12	macaroni cheese	270
311	2014-10-05	toast	68
310	2014-09-28	popcorn	375
309	2014-09-21	honey and lemon, curry, marshmellows	510.8
308	2014-09-14	Drink of water	0
307	2014-09-07	Chocolate chip cookie	488
306	2014-08-31	(none reported)	0
305	2014-08-24	couscous with chili sauce and tuna	307
304	2014-08-17	chip or apple	80
303	2014-08-10	(none reported)	0
302	2014-08-03	coconut water	46
301	2014-07-27	instant miso soup	30
300	2014-07-20	(none reported)	0
299	2014-07-13	australian coffee	94
298	2014-07-06	vanilla yogurt	159
297	2014-06-29	toasted ravioli and pint of ted drewers	340
296	2014-06-22	peanut butter cups	588
295	2014-06-15	dry crackers and dry ginger ale	165
294	2014-06-08	waffle with maple syrup	150
293	2014-06-01	couscous with chili sauce	123
292	2014-05-25	bagels with cream cheese and smoked salmon	553
291	2014-05-16	cheddar cheese on sourdough toast with chili flakes	662
290	2014-05-11	honey popcorn	157
289	2014-05-04	greek yogurt with maple syrup	280
288	2014-04-27	satay chicken and rice with peanut sauce	944
287	2014-04-20	chocolate	546
286	2014-04-13	(none reported)	0
285	2014-04-06	miso soup with pickled ginger	90